MSA,Year,Uninsured Population,Total Population,Ratio of Uninsured,Percentage of Uninsured
"Boston-Cambridge-Newton, MA-NH ",2016,130903,4746234,0.027580393,2.758039321
"Charlotte-Concord-Gastonia, NC-SC ",2016,233822,2456326,0.095191762,9.519176201
"Chicago-Naperville-Elgin, IL-IN-WI ",2016,680567,9422936,0.072224517,7.222451686
"Cincinnati, OH-KY-IN ",2016,99009,2135359,0.046366442,4.636644236
"Cleveland-Elyria, OH ",2016,101388,2029534,0.049956295,4.995629539
"Columbus, OH ",2016,126958,2014965,0.063007546,6.300754604
"Dallas-Fort Worth-Arlington, TX ",2016,1117260,7182112,0.155561484,15.55614839
"Denver-Aurora-Lakewood, CO ",2016,213108,2829306,0.075321651,7.532165132
"Detroit-Warren-Dearborn, MI ",2016,216229,4269069,0.050650153,5.065015346
"Fresno, CA ",2016,82702,969448,0.08530834,8.530834042
"Houston-The Woodlands-Sugar Land, TX ",2016,1158625,6718827,0.172444535,17.24445353
"Indianapolis-Carmel-Anderson, IN ",2016,150057,1974652,0.075991618,7.599161776
"Jacksonville, FL ",2016,145415,1447202,0.100480099,10.04800988
"Kansas City, MO-KS ",2016,174356,2079279,0.083854067,8.385406672
"Las Vegas-Henderson-Paradise, NV ",2016,258931,2132361,0.121429251,12.14292514
"Los Angeles-Long Beach-Anaheim, CA ",2016,1190430,13228578,0.089989264,8.998926415
"Memphis, TN-MS-AR ",2016,133995,1328928,0.10082939,10.08293903
"Miami-Fort Lauderdale-West Palm Beach, FL ",2016,883359,6015003,0.146859278,14.68592784
"Milwaukee-Waukesha-West Allis, WI ",2016,81794,1559195,0.052459122,5.245912153
"Minneapolis-St. Paul-Bloomington, MN-WI ",2016,135915,3522232,0.038587748,3.858774777
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2016,161705,1849312,0.087440627,8.744062657
"New York-Newark-Jersey City, NY-NJ-PA ",2016,1492228,19975958,0.074701198,7.470119831
"Oklahoma City, OK ",2016,162487,1351215,0.120252513,12.02525135
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2016,341367,5991464,0.056975557,5.697555723
"Phoenix-Mesa-Scottsdale, AZ ",2016,463167,4603861,0.100604036,10.06040365
"Pittsburgh, PA ",2016,86542,2315404,0.037376631,3.73766306
"Portland-Vancouver-Hillsboro, OR-WA ",2016,128446,2409749,0.053302647,5.330264687
"Raleigh, NC ",2016,107318,1290992,0.083128323,8.312832303
"Richmond, VA ",2016,89582,1257638,0.071230354,7.123035404
"Riverside-San Bernardino-Ontario, CA ",2016,390390,4455722,0.08761543,8.761543023
