MSA,Year,Uninsured Population,Total Population,Percentage of Uninsured Population
"Pittsburgh, PA ",2010,192101,2325874,0.082593038
"Portland-South Portland-Biddeford, ME ",2010,,,0.118193028
"Portland-Vancouver-Hillsboro, OR-WA ",2010,340646,2214964,0.153793019
"Providence-New Bedford-Fall River, RI-MA ",2010,150639,1578428,0.095436092
"Raleigh-Cary, NC ",2010,167007,1128058,0.148048239
"Richmond, VA ",2010,164202,1232732,0.133201702
"Riverside-San Bernardino-Ontario, CA ",2010,893093,4188254,0.213237545
"Sacramento--Arden-Arcade--Roseville, CA ",2010,269228,2127810,0.126528214
"St. Louis, MO-IL ",2010,304550,2776667,0.10968186
"Salt Lake City, UT ",2010,186646,1117922,0.166957981
"San Antonio-New Braunfels, TX ",2010,419833,2107903,0.19917093
"San Diego-Carlsbad-San Marcos, CA ",2010,527303,3002860,0.175600261
"San Francisco-Oakland-Fremont, CA ",2010,531201,4309379,0.123266253
"San Jose-Sunnyvale-Santa Clara, CA ",2010,225118,1835444,0.122650432
"Seattle-Tacoma-Bellevue, WA ",2010,446072,3397885,0.131279311
